"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/23/2016","250030006","3","0.8","ug/m3 LC","3","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"01/24/2016","250030006","3","3.6","ug/m3 LC","15","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"01/25/2016","250030006","3","10.2","ug/m3 LC","43","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"01/26/2016","250030006","3","11.7","ug/m3 LC","49","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"01/27/2016","250030006","3","1.1","ug/m3 LC","5","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"01/28/2016","250030006","3","8.2","ug/m3 LC","34","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"01/29/2016","250030006","3","9.4","ug/m3 LC","39","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"01/30/2016","250030006","3","4.3","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"01/31/2016","250030006","3","13.6","ug/m3 LC","54","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/01/2016","250030006","3","3.4","ug/m3 LC","14","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/02/2016","250030006","3","6.7","ug/m3 LC","28","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/03/2016","250030006","3","3.6","ug/m3 LC","15","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/04/2016","250030006","3","-1.3","ug/m3 LC","0","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/05/2016","250030006","3","0.3","ug/m3 LC","1","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/06/2016","250030006","3","6.1","ug/m3 LC","25","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/07/2016","250030006","3","13.2","ug/m3 LC","53","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/08/2016","250030006","3","2","ug/m3 LC","8","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/09/2016","250030006","3","1.9","ug/m3 LC","8","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/10/2016","250030006","3","4","ug/m3 LC","17","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/11/2016","250030006","3","-1.9","ug/m3 LC","0","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/12/2016","250030006","3","9.9","ug/m3 LC","41","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/13/2016","250030006","3","8.3","ug/m3 LC","35","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/14/2016","250030006","3","6.6","ug/m3 LC","28","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/15/2016","250030006","3","15.4","ug/m3 LC","58","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/16/2016","250030006","3","1.1","ug/m3 LC","5","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/17/2016","250030006","3","4.8","ug/m3 LC","20","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/18/2016","250030006","3","4.2","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/19/2016","250030006","3","8.7","ug/m3 LC","36","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/20/2016","250030006","3","5.1","ug/m3 LC","21","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/21/2016","250030006","3","-0.3","ug/m3 LC","0","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/22/2016","250030006","3","4.6","ug/m3 LC","19","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/23/2016","250030006","3","6.4","ug/m3 LC","27","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/24/2016","250030006","3","2.2","ug/m3 LC","9","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/25/2016","250030006","3","-0.5","ug/m3 LC","0","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/26/2016","250030006","3","-0.9","ug/m3 LC","0","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/27/2016","250030006","3","4.6","ug/m3 LC","19","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/28/2016","250030006","3","6.6","ug/m3 LC","28","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"02/29/2016","250030006","3","4.2","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/04/2016","250030006","3","7.3","ug/m3 LC","30","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/05/2016","250030006","3","6.3","ug/m3 LC","26","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/06/2016","250030006","3","10.2","ug/m3 LC","43","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/07/2016","250030006","3","16.8","ug/m3 LC","61","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/08/2016","250030006","3","15.8","ug/m3 LC","59","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/09/2016","250030006","3","14.9","ug/m3 LC","57","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/10/2016","250030006","3","3.6","ug/m3 LC","15","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/11/2016","250030006","3","0.7","ug/m3 LC","3","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/12/2016","250030006","3","6.8","ug/m3 LC","28","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/13/2016","250030006","3","5.9","ug/m3 LC","25","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/14/2016","250030006","3","4.1","ug/m3 LC","17","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/15/2016","250030006","3","3","ug/m3 LC","13","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/16/2016","250030006","3","6.9","ug/m3 LC","29","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/17/2016","250030006","3","5.8","ug/m3 LC","24","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/18/2016","250030006","3","3.4","ug/m3 LC","14","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/19/2016","250030006","3","4.2","ug/m3 LC","18","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/20/2016","250030006","3","6","ug/m3 LC","25","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/21/2016","250030006","3","6","ug/m3 LC","25","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/22/2016","250030006","3","5","ug/m3 LC","21","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/23/2016","250030006","3","9.2","ug/m3 LC","38","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/24/2016","250030006","3","7.6","ug/m3 LC","32","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/25/2016","250030006","3","5.2","ug/m3 LC","22","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/26/2016","250030006","3","6.6","ug/m3 LC","28","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/27/2016","250030006","3","10.1","ug/m3 LC","42","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/28/2016","250030006","3","3.4","ug/m3 LC","14","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/29/2016","250030006","3","3.1","ug/m3 LC","13","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/30/2016","250030006","3","7","ug/m3 LC","29","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
"03/31/2016","250030006","3","7.6","ug/m3 LC","32","1","100.0000","88101","PM2.5 - Local Conditions","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.4520173721286","-73.2550887606996"
