"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"10/12/2016","260050003","1","8","ug/m3 LC","33","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"10/15/2016","260050003","1","7.7","ug/m3 LC","32","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"10/18/2016","260050003","1","6.3","ug/m3 LC","26","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"10/21/2016","260050003","1","1.4","ug/m3 LC","6","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"10/24/2016","260050003","1","2.4","ug/m3 LC","10","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"10/27/2016","260050003","1","1.7","ug/m3 LC","7","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"10/30/2016","260050003","1","2.6","ug/m3 LC","11","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"11/02/2016","260050003","1","15.4","ug/m3 LC","58","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"11/05/2016","260050003","1","9.3","ug/m3 LC","39","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"11/08/2016","260050003","1","8.2","ug/m3 LC","34","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
